USER_ID,CREATED_AT,COUNTRY,DEVICE_TYPE,SOURCE,BRANCH,AGE,GENDER
01KFQZ3JZV8PZPZWZ1TK3QFZVE,2026-01-24 12:26:32.375 Z,MK,ios,instagram_profile,moses,45-54,male
01KFQY9RHFV652B9JNB1JK8455,2026-01-24 12:21:17.992 Z,VG,ios,organic,abraham,35-44,female
01KFQWMKNX56KXS16Y45YTNP4W,2026-01-24 11:46:49.374 Z,HK,tablet,google,deborah,35-44,female
01KFQX2Y3MQM8S7A8W8FXDP7H4,2026-01-24 11:51:17.491 Z,EC,ios,google_search,abraham,35-44,female
01KDXM35HJXRT0EY9CDD1WVGC8,2026-01-24 11:27:49.361 Z,GT,android,meta,moses,45-54,female
01KFQVSHEG4YX2WE7C55ZKHFVA,2026-01-24 11:24:54.712 Z,SR,desktop,email,ruth,45-54,female
01KFQVP1EZGGXTGZS89VVX5MCN,2026-01-24 11:23:21.283 Z,IM,ios,google_search,esther,18-34,female
01KFQT0N1NSXZY4GX221FBNY4T,2026-01-24 10:56:50.839 Z,BF,tablet,axon,moses,35-44,female
01KFQT0RFWSDCKMMRB4VE9GHPV,2026-01-24 10:54:15.655 Z,GY,desktop,meta,mary,45-54,male
01KFQPFR7438SGHMHRTNDF8900,2026-01-24 10:46:51.786 Z,MA,ios,meta,abraham,35-44,female
01KFQSGVQMX04MQ15TBQRMFZCA,2026-01-24 10:53:00.284 Z,VE,mobile,meta,david,45-54,male
01KFFXDRHQACFFWDNZBTJKP62N,2026-01-24 09:41:55.932 Z,PY,desktop,meta,david,35-44,female
01KFQNQSH2DF17K6YSG044117P,2026-01-24 09:41:46.240 Z,IT,desktop,meta,deborah,35-44,female
01KFQNC5DSC00YFYFYFASXPD33,2026-01-24 09:36:09.653 Z,FM,desktop,axon,david,35-44,male
01KFQMHVSJ9F2PQ1BN4SFY0Y3C,2026-01-24 09:24:01.322 Z,CD,android,meta,esther,55+,female
01KFQMT2VYYTHTEKX6BTFP7VX0,2026-01-24 09:26:52.434 Z,MT,tablet,meta,moses,55+,male
01KFQMB78C0MDGBVPS56MWWHRZ,2026-01-24 09:22:49.623 Z,VE,android,google_display,deborah,35-44,male
01KFQKP8778EZD17SEPGXV76B5,2026-01-24 09:05:46.877 Z,MR,android,axon,deborah,35-44,female
01KF9CJSJXY6VRKPHDNBSD42Q7,2026-01-24 09:07:22.109 Z,TG,android,meta,paul,35-44,male
01KFQMBQFN5Q3QH2NXJJ8EGTCG,2026-01-24 09:15:22.709 Z,NL,smart tv,meta,abraham,45-54,female
01KFQM5RTBKX065XHACEVVG3R2,2026-01-24 09:14:15.882 Z,LI,desktop,email,deborah,55+,female
01KFQKVHXH4RYK46FJ84HSSWCG,2026-01-24 09:12:20.548 Z,IO,ios,meta,abraham,18-34,female
01KFQKZAFFXGQ1TMBCMBHMG33Z,2026-01-24 09:11:17.897 Z,MX,desktop,meta,deborah,35-44,female
01KFQKRAB9GED516ZPKHS51409,2026-01-24 09:05:35.487 Z,LT,desktop,tiktok,david,45-54,male
01KFQKM49NCDQJ017449DZG722,2026-01-24 09:08:45.253 Z,KH,android,organic,paul,45-54,male
01KFQKFBKEN12SXH14R5XA47NJ,2026-01-24 09:01:53.511 Z,MX,mobile,tiktok,david,35-44,female
01KFQJFVANXV7GG6TBZK1EMFW0,2026-01-24 08:52:44.479 Z,TL,tablet,organic,abraham,18-34,female
01KFQH0WA5TT3BKFWHYD7890TH,2026-01-24 08:59:27.952 Z,NE,desktop,organic,ruth,35-44,female
01KFQJXTZT2HMW2RN5HK79G2W9,2026-01-24 08:52:11.369 Z,NZ,android,meta,abraham,45-54,female
01KFQK7EB8BBNXBKYA89TZFX91,2026-01-24 09:00:31.426 Z,RO,desktop,axon,abraham,45-54,male
01KFQHAQR5AZ8RQ3T0YH309JNB,2026-01-24 08:27:44.167 Z,TG,mobile,google_search,ruth,45-54,female
01KFQD9H1JWBJF2WCPRPF982V3,2026-01-24 08:25:16.240 Z,PM,mobile,google_search,deborah,35-44,female
01KFQGVYK33MHCVZQ4Y0AF174G,2026-01-24 08:18:26.870 Z,CZ,android,tiktok,david,45-54,female
01KFQH3JSKQHDM3DXFCGGJR425,2026-01-24 08:18:36.230 Z,CG,ios,google,david,18-34,male
01KFQH9GTCJQ74E0JVBE54FMJQ,2026-01-24 08:26:28.581 Z,WS,ios,meta,abraham,35-44,male
01KFJMC8SRNS8C50V51N9NN8ZF,2026-01-24 08:12:36.417 Z,RS,ios,organic,ruth,35-44,male
01KFQGSPJ0FZZY10MVYDB7YX7Q,2026-01-24 08:15:21.112 Z,NF,android,meta,paul,35-44,male
01KFQG9MPSF5ZDJ2HD1XH73XME,2026-01-24 08:06:08.278 Z,GB,ios,meta,abraham,45-54,male
01KFQGAY57JV0Q52TN03T1Z96C,2026-01-24 08:06:30.018 Z,NI,android,meta,moses,35-44,male
01KFQEC4MTRHSTQ8Z4HMTB7DNJ,2026-01-24 07:33:14.001 Z,AD,ios,organic,abraham,35-44,female
01KFQEABCZ93SPD19E4CE0G0TJ,2026-01-24 07:34:34.107 Z,DM,android,meta,paul,18-34,female
01KFQD8WS14N1G0NNDH88CT1H6,2026-01-24 07:14:52.071 Z,TR,android,meta,esther,35-44,female
01KFQBCNXGFB873BER9AVFTREJ,2026-01-24 06:38:10.647 Z,CH,desktop,google_demgen,esther,18-34,female
01KFD1X3B4XRSDHTVPRFHCXMF8,2026-01-24 06:38:57.654 Z,MW,ios,organic,deborah,55+,male
01KFQBBJGP7YDH3W09TGJVB8HH,2026-01-24 06:39:21.325 Z,GA,desktop,tiktok,mary,45-54,male
01KFQAGVZ6EEW9626VGCVVPFHE,2026-01-24 06:33:41.363 Z,IN,desktop,meta,paul,55+,female
01KFQBD3MDR861GWGH39CWYGDK,2026-01-24 06:42:44.542 Z,VU,ios,google_demgen,paul,18-34,male
01KFQ6PK2DR6V9Y0MEHH4GX6WD,2026-01-24 05:22:36.156 Z,ET,android,organic,mary,45-54,female
01KF2C8EV5H4QNYBFK9DXP5H9Q,2026-01-24 05:19:10.720 Z,JO,ios,google,david,45-54,male
01KFNXWEQ1QP7Z2AQZZ7MVNRFX,2026-01-24 05:20:19.280 Z,BQ,desktop,instagram_profile,ruth,55+,female
01KFQ5WQ9E4AWCJ5TWVR28RJJE,2026-01-24 05:08:36.116 Z,GP,desktop,meta,ruth,18-34,female
01KFQ4YYBZWR5KX5NQXVB74BMG,2026-01-24 04:49:55.029 Z,GQ,ios,organic,paul,45-54,male
01KF32PJHK13EY45KY9H6XA0AV,2026-01-24 04:53:41.418 Z,AE,desktop,meta,esther,45-54,male
01KFP18W5HSY0XQS85B6C65VRG,2026-01-24 04:51:32.193 Z,GF,android,customer.io,moses,35-44,female
01KFQ5MRCKB4TSSTFC8944K63D,2026-01-24 04:59:03.782 Z,CD,ios,meta,moses,55+,male
01KFQ4Y3J9NRFCQ2969E800VAJ,2026-01-24 04:48:21.365 Z,KZ,tablet,meta,ruth,45-54,female
01KFQ5FCARZPTTF1W2SXS25CDH,2026-01-24 04:59:48.521 Z,TO,android,meta,david,35-44,male
01KFQ3T1N01FZM1R10MQTSF6Q9,2026-01-24 04:27:57.712 Z,PM,desktop,meta,david,35-44,female
01KFQ2P125K9ABHYXP98AQYJZX,2026-01-24 04:27:49.360 Z,CM,ios,ActiveCampaign,abraham,45-54,male
01KFQ3Q5T6CHV2VKZTA7HA1XSS,2026-01-24 04:20:43.173 Z,WS,mobile,meta,paul,35-44,female
